season,fg_id,roto_points,role,PA,IP,SV,rp_next,birth_year,age,survived,rp_next_all,vol,age_band
2022,1177,6.106991206384923,HIT,351.0,1.0,0.0,,1980.0,42.0,0,0.0,351.0,33+
2022,1246,4.2991180640492335,PIT,0.0,59.66666666666668,3.0,-0.9913901837591317,1986.0,36.0,1,-0.9913901837591317,59.66666666666668,33+
2022,1247,7.991922009472885,PIT,0.0,65.66666666666667,3.0,5.313719514856003,1985.0,37.0,1,5.313719514856003,65.66666666666667,33+
2022,1744,3.2842863314978863,HIT,433.0,0.0,0.0,2.2879650216261638,1983.0,39.0,1,2.2879650216261638,433.0,33+
2022,1890,7.56778067530221,PIT,0.0,74.0,5.0,5.008965601356101,1989.0,33.0,1,5.008965601356101,74.0,33+
2022,1943,2.052557961043233,PIT,0.0,137.0,0.0,0.4466825571156433,1983.0,39.0,1,0.4466825571156433,137.0,33+
2022,2036,13.482899812932752,PIT,0.0,126.33333333333331,0.0,13.068787157165422,1988.0,34.0,1,13.068787157165422,126.33333333333331,33+
2022,2136,5.010691441441641,HIT,490.0,0.0,0.0,4.395550510846105,1987.0,35.0,1,4.395550510846105,490.0,33+
2022,2233,6.49794579623841,PIT,0.0,191.66666666666663,0.0,-7.7741118997088385,1981.0,41.0,1,-7.7741118997088385,191.66666666666663,33+
2022,2396,4.51087465847189,HIT,506.0,0.0,0.0,7.362643463382796,1986.0,36.0,1,7.362643463382796,506.0,33+
2022,2429,5.050435855713734,PIT,0.0,164.0,0.0,-2.4186527531737694,1986.0,36.0,1,-2.4186527531737694,164.0,33+
2022,2434,5.182978546775428,HIT,507.0,0.0,0.0,1.4991902731874982,1980.0,42.0,1,1.4991902731874982,507.0,33+
2022,2520,5.9733765979302715,PIT,0.0,121.66666666666667,0.0,2.1095862201523836,1987.0,35.0,1,2.1095862201523836,121.66666666666667,33+
2022,2608,-2.9089386151386165,PIT,0.0,47.333333333333336,0.0,,1988.0,34.0,0,0.0,47.333333333333336,33+
2022,2967,7.704264161691419,HIT,622.0,0.0,0.0,7.074376320969907,1988.0,34.0,1,7.074376320969907,622.0,33+
2022,3096,13.462690277032568,PIT,0.0,64.0,41.0,8.059344695824516,1987.0,35.0,1,8.059344695824516,64.0,33+
2022,3137,15.124814867764846,PIT,0.0,145.33333333333331,0.0,10.717993932139803,1984.0,38.0,1,10.717993932139803,145.33333333333331,33+
2022,3142,0.6831387764341363,HIT,220.0,0.0,0.0,,1984.0,38.0,0,0.0,220.0,33+
2022,3184,3.210608544985176,PIT,0.0,40.333333333333336,2.0,,1985.0,37.0,0,0.0,40.333333333333336,33+
2022,3284,1.5185398507351948,PIT,0.0,69.33333333333331,0.0,,1984.0,38.0,0,0.0,69.33333333333331,33+
2022,3473,8.568825799439717,HIT,548.0,0.0,0.0,3.6279489094665536,1989.0,33.0,1,3.6279489094665536,548.0,33+
2022,3516,4.35829775791443,HIT,419.0,0.0,0.0,0.7292838790353939,1989.0,33.0,1,0.7292838790353939,419.0,33+
2022,3548,12.825293000884427,PIT,0.0,57.66666666666668,37.0,0.902768208758635,1989.0,33.0,1,0.902768208758635,57.66666666666668,33+
2022,4106,3.366289614843889,HIT,277.0,0.0,0.0,0.695910034630391,1987.0,35.0,1,0.695910034630391,277.0,33+
2022,4264,3.2699046711734185,PIT,0.0,56.0,18.0,,1985.0,37.0,0,0.0,56.0,33+
2022,4314,2.6740750844816716,HIT,376.0,0.0,0.0,2.5322213542279943,1983.0,39.0,1,2.5322213542279943,376.0,33+
2022,4676,5.881051263270413,PIT,0.0,172.0,0.0,8.234305743254781,1983.0,39.0,1,8.234305743254781,172.0,33+
2022,4806,3.315741361029332,PIT,0.0,124.33333333333331,0.0,-0.3898527868603554,1980.0,42.0,1,-0.3898527868603554,124.33333333333331,33+
2022,4892,2.2620748820549306,HIT,285.0,0.0,0.0,3.933921681284542,1988.0,34.0,1,3.933921681284542,285.0,33+
2022,4949,6.8093695598143755,HIT,452.0,0.0,0.0,3.908167196593834,1989.0,33.0,1,3.908167196593834,452.0,33+
2022,5003,0.47684684137381583,PIT,0.0,57.66666666666668,1.0,2.0479852864668704,1987.0,35.0,1,2.0479852864668704,57.66666666666668,33+
2022,5038,5.228482460293556,HIT,546.0,0.0,0.0,1.5539501641722537,1985.0,37.0,1,1.5539501641722537,546.0,33+
2022,5114,-2.5579757439202284,PIT,0.0,44.333333333333336,0.0,-0.6934147249774614,1989.0,33.0,1,-0.6934147249774614,44.333333333333336,33+
2022,5235,7.833682780043111,HIT,532.0,0.0,0.0,9.12929866085557,1984.0,38.0,1,9.12929866085557,532.0,33+
2022,5254,3.3012839961736598,HIT,477.0,0.0,0.0,4.044155620564701,1989.0,33.0,1,4.044155620564701,477.0,33+
2022,5297,4.402668786700807,HIT,453.0,0.0,0.0,3.7747445918951086,1989.0,33.0,1,3.7747445918951086,453.0,33+
2022,5343,4.235233839327943,HIT,458.0,0.0,0.0,2.004691586942286,1987.0,35.0,1,2.004691586942286,458.0,33+
2022,5361,14.86529323010762,HIT,708.0,0.0,0.0,15.148650340227956,1989.0,33.0,1,15.148650340227956,708.0,33+
2022,5365,1.105872133611499,PIT,0.0,41.0,1.0,,1991.0,31.0,0,0.0,41.0,30-32
2022,5372,-1.2524598794659059,PIT,0.0,46.66666666666668,0.0,,1989.0,33.0,0,0.0,46.66666666666668,33+
2022,5417,12.589652085229302,HIT,604.0,0.0,0.0,8.094985151295221,1990.0,32.0,1,8.094985151295221,604.0,30-32
2022,5448,2.578901656778411,PIT,0.0,69.33333333333331,0.0,3.577781930528223,1983.0,39.0,1,3.577781930528223,69.33333333333331,33+
2022,5452,3.941373703550042,HIT,419.0,0.0,0.0,0.6631619767709274,1991.0,31.0,1,0.6631619767709274,419.0,30-32
2022,5497,1.519478700142149,HIT,207.0,0.3333333333333333,0.0,,1989.0,33.0,0,0.0,207.0,33+
2022,5517,2.752814283126029,HIT,248.0,0.0,0.0,2.515720903973748,1990.0,32.0,1,2.515720903973748,248.0,30-32
2022,5524,-0.6730663649535691,PIT,0.0,158.66666666666663,0.0,-2.991744155604094,1989.0,33.0,1,-2.991744155604094,158.66666666666663,33+
2022,5615,-1.1843601704489015,PIT,0.0,62.333333333333336,1.0,4.938234722344922,1987.0,35.0,1,4.938234722344922,62.333333333333336,33+
2022,5760,3.0979719318501076,HIT,380.0,0.0,0.0,0.5706534242758742,1991.0,31.0,1,0.5706534242758742,380.0,30-32
2022,5827,6.386906285997829,HIT,602.0,0.0,0.0,6.486571653384812,1991.0,31.0,1,6.486571653384812,602.0,30-32
2022,5913,1.8436778970068397,HIT,315.0,0.0,0.0,,1991.0,31.0,0,0.0,315.0,30-32
2022,5933,5.968986697831044,HIT,387.0,0.0,0.0,1.5219303113659128,1990.0,32.0,1,1.5219303113659128,387.0,30-32
2022,6012,0.9277925432875462,HIT,232.0,0.0,0.0,,1990.0,32.0,0,0.0,232.0,30-32
