spec,n,intercept,slope,slope_se,r2,usd_per_point,note
full sample,677,3.2260941080498395,0.18746681261166992,0.012599698957561136,0.23582160223250548,5.3342774972733995,
season 2022,137,2.010641846278541,0.26027052597603345,0.02773956236257721,0.35908006991769503,3.8421561421521977,
season 2023,136,2.7098961567486746,0.22681935008265064,0.025868332277727835,0.32125345571054587,4.40879492704485,
season 2024,163,3.7451494494288493,0.17281880218338883,0.02492203576279689,0.24381572529409257,5.786407424227125,
season 2025,129,3.905961490201736,0.13759968600518263,0.030027804726339095,0.12354061384328774,7.267458444362551,
season 2026,112,3.889258739652166,0.11088406329863978,0.026256181996488583,0.10611835593962493,9.018428530227455,
hitters,418,3.775468304576963,0.16012342311408684,0.013684089695562942,0.2807243291803442,6.245182500798193,
pitchers,250,2.387088083866205,0.24066566264703948,0.027543479074111657,0.20061009839859367,4.155141988271925,
weighted by $,677,3.112284848252635,0.19312714693969507,0.017113769496450628,0.2520222083738429,5.177935965223237,
price $1-5,260,3.443727036942807,0.09557304723672118,0.14494592835525266,0.0017916459708926524,10.463200964212627,
price $6-15,215,3.9038709503412976,0.1180847035579554,0.08843831480968836,0.008783119339165202,8.468497357146727,
price $16-30,166,1.1981912913634567,0.2806966013442368,0.05573031735333508,0.11965476068980396,3.562565400546599,
price $31-+,36,6.985327487661983,0.08065482778272354,0.149244721770506,0.008096272432189022,12.398513858264074,
excl. never-played,668,3.3250138294811,0.18316791712262862,0.012642809295016821,0.22858390610497603,5.459471373092661,drops the pure-waste picks; slope should rise
log($) -> points,677,2.721955890635444,1.3883294069156804,0.11122244519137689,0.17812983491501866,0.7202901523361124,slope = pts per log-$
