value,season,n,dollars,vs_keep_all,accuracy,kept,knob
0.0,2024,64,28.807563313514912,165.03780898802597,0.609375,0.578125,w_cap
0.0,2025,91,444.11894768204087,-60.94405837509311,0.5824175824175825,0.6153846153846154,w_cap
0.0,2026,134,872.2604314408686,4.236755283362072,0.6268656716417911,0.6268656716417911,w_cap
0.1,2024,64,28.807563313514912,165.03780898802597,0.609375,0.578125,w_cap
0.1,2025,91,481.0051857834155,-24.05782027371845,0.5824175824175825,0.6373626373626373,w_cap
0.1,2026,134,912.588294158915,44.56461800140846,0.6492537313432836,0.664179104477612,w_cap
0.2,2024,64,9.80756331351491,146.03780898802597,0.59375,0.59375,w_cap
0.2,2025,91,493.5733622302512,-11.489643826882798,0.5824175824175825,0.6373626373626373,w_cap
0.2,2026,134,913.588294158915,45.56461800140846,0.6567164179104478,0.6567164179104478,w_cap
0.3,2024,64,9.80756331351491,146.03780898802597,0.59375,0.59375,w_cap
0.3,2025,91,504.08289149131565,-0.9801145658183259,0.5824175824175825,0.6373626373626373,w_cap
0.3,2026,134,925.5162603453796,57.492584187873035,0.664179104477612,0.6492537313432836,w_cap
0.4,2024,64,9.80756331351491,146.03780898802597,0.59375,0.59375,w_cap
0.4,2025,91,517.7830052247126,12.719999167578635,0.5934065934065934,0.6483516483516484,w_cap
0.4,2026,134,954.3077309793498,86.28405482184326,0.664179104477612,0.664179104477612,w_cap
0.5,2024,64,9.80756331351491,146.03780898802597,0.59375,0.59375,w_cap
0.5,2025,91,526.513893880158,21.450887823024004,0.5934065934065934,0.6483516483516484,w_cap
0.5,2026,134,995.334651951641,127.31097579413449,0.6716417910447762,0.6716417910447762,w_cap
0.6,2024,64,9.80756331351491,146.03780898802597,0.59375,0.59375,w_cap
0.6,2025,91,533.0571290602006,27.994123003066647,0.6043956043956044,0.6373626373626373,w_cap
0.6,2026,134,995.334651951641,127.31097579413449,0.6716417910447762,0.6716417910447762,w_cap
0.7,2024,64,25.988836872806584,162.21908254731764,0.609375,0.578125,w_cap
0.7,2025,91,533.0571290602006,27.994123003066647,0.6043956043956044,0.6373626373626373,w_cap
0.7,2026,134,995.334651951641,127.31097579413449,0.6716417910447762,0.6716417910447762,w_cap
0.8,2024,64,25.988836872806584,162.21908254731764,0.609375,0.578125,w_cap
0.8,2025,91,533.0571290602006,27.994123003066647,0.6043956043956044,0.6373626373626373,w_cap
0.8,2026,134,988.5219824394902,120.49830628198367,0.664179104477612,0.664179104477612,w_cap
0.9,2024,64,25.988836872806584,162.21908254731764,0.609375,0.578125,w_cap
0.9,2025,91,533.0571290602006,27.994123003066647,0.6043956043956044,0.6373626373626373,w_cap
0.9,2026,134,988.5219824394902,120.49830628198367,0.664179104477612,0.664179104477612,w_cap
1.0,2024,64,25.988836872806584,162.21908254731764,0.609375,0.578125,w_cap
1.0,2025,91,533.0571290602006,27.994123003066647,0.6043956043956044,0.6373626373626373,w_cap
1.0,2026,134,988.5219824394902,120.49830628198367,0.664179104477612,0.664179104477612,w_cap
