player,AB,R,H,HR,RBI,SB,AVG,cbs_rank
Pete Crow-Armstrong,458,86,130,27,73,30,.284,1
C.J. Abrams,447,75,127,29,91,23,.284,2
Yordan Alvarez,435,80,140,35,87,1,.322,4
James Wood,437,100,116,30,73,17,.265,5
Jordan Walker,454,72,129,23,84,16,.284,6
Junior Caminero,456,76,127,35,77,2,.279,7
Matt Olson,470,86,124,35,74,2,.264,8
Shohei Ohtani,428,77,125,27,74,7,.292,9
Sal Stewart,453,64,116,25,87,12,.256,12
Ben Rice,427,75,110,32,76,3,.258,13
Otto Lopez,471,72,148,9,53,23,.314,14
Brice Turang,451,74,121,16,76,16,.268,15
Hunter Goodman,414,69,104,34,69,5,.251,16
Fernando Tatis Jr.,467,67,131,12,55,28,.281,17
Pete Alonso,452,74,117,26,77,5,.259,18
Kyle Schwarber,427,69,106,35,69,3,.248,19
Elly De La Cruz,395,67,106,20,56,21,.268,20
Randy Arozarena,417,76,115,16,52,20,.276,22
Miguel Vargas,434,79,102,25,68,12,.235,23
Jake McCarthy,380,57,114,13,67,20,.300,24
Bobby Witt Jr.,404,60,115,13,42,32,.285,25
Andy Pages,463,66,125,19,76,11,.270,27
Bryce Harper,426,73,108,25,71,7,.254,29
Alec Burleson,456,65,131,19,84,3,.287,30
Jackson Merrill,462,62,114,19,63,23,.247,31
Ceddanne Rafaela,454,61,130,16,63,16,.286,32
Dillon Dingler,424,65,113,26,80,0,.267,33
Jake Bauers,365,69,98,21,67,8,.269,35
Yandy Diaz,453,68,137,17,69,3,.302,36
Willson Contreras,378,60,106,24,71,3,.280,38
Brandon Lowe,446,72,112,25,74,2,.251,40
Luis Garcia,384,51,107,24,78,4,.279,41
Michael Harris II,438,59,127,20,67,6,.290,43
Corbin Carroll,444,75,108,18,57,16,.243,44
Dansby Swanson,399,77,86,18,66,16,.215,45
Trea Turner,486,80,120,17,47,17,.247,46
Bryan Reynolds,447,80,118,15,63,7,.264,47
Nick Kurtz,352,62,90,21,69,7,.256,48
Seiya Suzuki,392,66,107,20,70,2,.273,49
Kevin McGonigle,444,78,127,12,48,11,.286,50
Wilyer Abreu,445,66,113,21,64,8,.254,51
Jazz Chisholm Jr.,390,56,85,17,48,31,.218,52
Zach Neto,469,76,105,20,52,16,.224,55
Carson Benge,438,62,120,13,47,18,.274,56
Freddie Freeman,445,58,136,15,57,5,.306,58
Ozzie Albies,465,72,119,20,64,2,.256,61
Drake Baldwin,383,64,105,20,61,2,.274,62
Julio Rodriguez,428,55,110,19,52,15,.257,63
Liam Hicks,380,57,108,16,71,3,.284,65
Ketel Marte,465,64,117,21,67,4,.252,66
Brandon Marsh,429,62,117,16,52,10,.273,67
Byron Buxton,331,57,87,25,45,7,.263,68
JJ Wetherholt,445,77,109,16,45,13,.245,69
Jackson Chourio,357,58,98,17,48,11,.275,70
Jonathan Aranda,439,58,125,15,73,0,.285,71
Casey Schmitt,387,47,105,21,55,9,.271,72
Daylen Lile,458,60,113,15,64,12,.247,73
Bryson Stott,402,51,107,8,53,23,.266,74
Juan Soto,293,46,83,21,52,7,.283,75
Kazuma Okamoto,430,63,98,24,71,1,.228,76
Mike Trout,367,68,88,20,44,10,.240,78
Chandler Simpson,417,49,128,0,25,33,.307,79
Rafael Devers,454,62,111,24,64,0,.244,80
Jac Caglianone,406,54,109,21,53,5,.269,81
Oneil Cruz,250,45,66,14,44,21,.264,82
Ezequiel Duran,387,54,104,13,64,9,.269,83
Munetaka Murakami,302,61,71,26,54,1,.235,85
Alex Bregman,469,69,120,16,61,3,.256,86
Riley Greene,422,65,115,16,54,3,.273,87
Max Muncy,366,62,91,22,56,2,.249,88
Ryan O'Hearn,359,54,97,17,69,1,.270,90
Luis Arraez,460,56,144,5,49,10,.313,92
Shea Langeliers,376,55,99,23,51,2,.263,94
Jose Ramirez,326,53,76,10,37,29,.233,95
Nick Gonzales,440,64,135,6,53,5,.307,96
Xavier Edwards,441,55,125,6,46,18,.283,97
Ivan Herrera,453,75,113,13,51,7,.249,101
Nico Hoerner,474,51,124,7,56,19,.262,103
Josh Naylor,432,44,114,10,43,23,.264,105
Jose Caballero,322,38,78,12,41,28,.242,108
Brooks Lee,429,53,106,17,62,7,.247,111
Chase DeLauter,389,48,110,13,57,7,.283,112
Caleb Durbin,378,56,94,11,55,14,.249,113
Colson Montgomery,425,56,91,26,68,1,.214,114
Manny Machado,442,61,94,23,70,2,.213,115
Kody Clemens,392,55,90,20,56,8,.230,117
Nasim Nunez,348,46,80,1,34,40,.230,119
TJ Rumfield,419,50,123,13,59,0,.294,121
Gunnar Henderson,485,71,104,19,49,9,.214,123
Sam Antonacci,342,59,95,8,35,15,.278,125
Jeremy Pena,293,55,85,13,38,8,.290,126
Nolan Arenado,396,55,96,18,58,4,.242,128
Jarren Duran,434,52,88,16,61,17,.203,129
Tyler Soderstrom,392,57,96,19,56,2,.245,131
