category,sigma_rel,se_sigma_rel,n_team_seasons,n_seasons
R,0.09179301632972489,0.012053013535690438,30,3
HR,0.1334586810267735,0.017523983339789162,30,3
RBI,0.09549930064879529,0.012539672508791497,30,3
SB,0.26293445477941857,0.03452498533300148,30,3
AVG,0.025946373458514842,0.003406925744483766,30,3
W,0.12249912826084086,0.01608492356035664,30,3
SV,0.20926233459789334,0.03699270396027466,17,2
K,0.11421330277128487,0.014996941372024881,30,3
ERA,0.03484340786747003,0.005652347141299781,20,2
WHIP,0.02690752534551239,0.004364977000661033,20,2
