season,category,n_dropped_punters,min,max,mean,n_teams,range,trimmed,median_gap,sd,slope,iqr
2022,AVG,0,0.2336,0.2643,0.24742000000000003,10,0.0034111111111111087,0.0026857142857142874,0.0037000000000000366,0.003118886662897515,0.003101931205967666,0.002668309859154931
2023,AVG,0,0.2375,0.2662,0.25317,10,0.003188888888888889,0.002857142857142856,0.0020000000000000018,0.0030107678415978866,0.002994209057737716,0.0023640845070422535
2024,AVG,0,0.2378,0.2704,0.25352,10,0.003622222222222218,0.0023857142857142805,0.0031999999999999806,0.0031134232760740986,0.0031013555093554897,0.0023387323943662003
2025,AVG,0,0.2495,0.2618,0.25403,10,0.0013666666666666643,0.0007142857142857149,0.0007000000000000339,0.0012009617296150593,0.0012434845938375425,0.0010647887323943614
2026,AVG,0,0.2351,0.2594,0.25122,10,0.002700000000000002,0.0011285714285714271,0.0012000000000000066,0.0022547689939326383,0.0024790621039290158,0.0013373239436619791
2022,ERA,0,2.865,4.516,3.8161,10,0.1834444444444444,0.16557142857142862,0.10099999999999998,0.17969253028548515,0.18429439602418166,0.14133802816901408
2023,ERA,0,3.706,4.388,4.0653,10,0.07577777777777778,0.06500000000000007,0.06899999999999995,0.07575538890138446,0.07365325660912356,0.0868309859154929
2024,ERA,0,3.482,3.92,3.6300999999999997,10,0.048666666666666636,0.04157142857142856,0.01499999999999968,0.045880843414218074,0.048707532701849326,0.021359154929577448
2025,ERA,0,3.437,3.835,3.5962999999999994,10,0.04422222222222224,0.030571428571428565,0.02499999999999991,0.042557606271969764,0.04270326336755016,0.043669014084507046
2026,ERA,0,3.467,4.416,3.7625,10,0.10544444444444448,0.06900000000000002,0.0770000000000004,0.09442108066528367,0.10453432380952381,0.042654929577464674
2022,HR,0,170.0,277.0,220.8,10,11.88888888888889,9.857142857142858,9.0,10.641519891444078,10.892000000000003,4.880281690140845
2023,HR,0,191.0,290.0,252.5,10,11.0,8.714285714285714,5.0,10.612720386404233,10.71923314780458,10.838028169014084
2024,HR,0,178.0,368.0,292.7,10,21.11111111111111,18.428571428571427,8.0,18.97889447781403,20.179177284310185,4.56338028169014
2025,HR,0,232.0,346.0,313.8,10,12.666666666666666,6.0,7.0,11.130977746810922,12.5112860892389,6.464788732394365
2026,HR,0,194.0,266.0,232.8,10,8.0,8.142857142857142,9.0,8.231399978132517,8.033281972265023,7.985915492957746
2022,K,0,906.0,1452.0,1145.2,10,60.666666666666664,50.714285714285715,57.0,61.14477967578263,60.05837160751563,67.37323943661971
2023,K,0,1010.0,1501.0,1151.6,10,54.55555555555556,30.428571428571427,26.0,50.15616530796588,54.0850516904163,41.00704225352113
2024,K,0,1205.0,1619.0,1379.2,10,46.0,32.57142857142857,44.0,42.207966944642095,42.049570552147195,37.96478873239436
2025,K,0,846.0,1648.0,1311.9,10,89.11111111111111,42.0,50.0,73.42917785458312,76.98022079970313,50.57746478873239
2026,K,0,893.0,1151.0,1029.4,10,28.666666666666668,27.857142857142858,21.0,29.958020068088615,29.374053594215276,33.2112676056338
