variant,season,n,kept_%,accuracy_%,dollars,vs_keep_all,note
pooled_prior (shipped backtest),2024,64.0,56.2,65.6,69.7,206.0,
pooled_prior (shipped backtest),2025,91.0,60.4,57.1,448.9,-56.2,
pooled_prior (shipped backtest),2026,134.0,61.9,64.9,946.6,78.6,
two_stage_rewound,2024,,,,,,"n/a: two-stage fit needs >= 3 seasons, have 2"
two_stage_rewound,2025,91.0,61.5,58.2,452.4,-52.7,
two_stage_rewound,2026,134.0,0.0,43.3,0.0,-868.0,
pick_level,2024,64.0,60.9,57.8,-16.8,119.4,
pick_level,2025,91.0,59.3,56.0,421.3,-83.7,
pick_level,2026,134.0,72.4,66.4,979.8,111.8,
median_pooled,2024,,,,,,n/a: No objects to concatenate
median_pooled,2025,91.0,65.9,60.4,474.0,-31.1,
median_pooled,2026,134.0,60.4,61.9,826.0,-42.0,
projected_pooled,2024,,,,,,n/a: No objects to concatenate
projected_pooled,2025,91.0,11.0,53.8,173.4,-331.6,
projected_pooled,2026,134.0,33.6,61.9,614.1,-253.9,
spline,2024,64.0,57.8,60.9,17.3,153.5,
spline,2025,91.0,60.4,61.5,508.6,3.5,
spline,2026,134.0,0.0,43.3,0.0,-868.0,
tiered_two_stage,2024,,,,,,"n/a: tiered two-stage segment 0 has 1 usable seasons (per-season usd [nan, 2.35]); no honest trend exists"
tiered_two_stage,2025,,,,,,"n/a: tiered two-stage segment 0 has 2 usable seasons (per-season usd [nan, 2.42, 4.03]); no honest trend exists"
tiered_two_stage,2026,,,,,,"n/a: tiered two-stage segment 0 has 3 usable seasons (per-season usd [nan, 2.28, 3.82, 9.6]); no honest trend exists"
