fg_id,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,draft_year,draft_salary,contract,acquisition,salary,keeper_cost,years_controlled,redraft_value_2028,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,surplus_multiyear,surplus_redraft
31791,1.8844724771847612,0.33746309142961173,1.336097963820942,1.2963992880479138,0.6412001138163839,0.0,0.0,0.0,0.0,0.0,5.495632934299612,520.5,473.0421367458054,131.27906300155664,5.2055853983165115,74.31121622005647,51.74472416935604,26.38550779658506,0.0,0.0,0.0,0.0,0.0,0.0,Justin Crawford,0.5,1.1527377521613833,0.2775208650642912,,,HIT,1.3600551493019655,10.060422947092365,19.993314368721112,6.3279222153181625,15.604972301748873,5.5445493546565086,2026.0,1.0,2,draft contract,1.0,1.0,2,16.694627256294847,9.060422947092365,13.34043316785062,0.0,7.7268681926730265,30.12772430761601,9.060422947092365
29695,1.8299545537346158,1.1767361054602163,1.6737914394852496,0.8674896634126625,-0.45441036726777223,0.0,0.0,0.0,0.0,0.0,5.093561394824972,544.0,483.49387755102043,114.69294774147819,18.151911849990334,72.16138742371102,64.82299853635635,17.65594557823129,0.0,0.0,0.0,0.0,0.0,0.0,Matt McLain,0.5,1.1029411764705883,0.2372169598556608,,,HIT,0.9579836098273251,7.381900532395808,15.940266443922436,5.62102328073768,10.89574905338623,3.513848520990421,2026.0,1.0,2,draft contract,1.0,1.0,2,13.689450858848218,6.381900532395808,10.786033230020985,0.0,5.555628245517837,22.723562007934632,6.381900532395808
29478,1.8347739578907387,1.290859096978229,1.9646398649880337,0.24154856437428787,-0.2978552425354321,0.0,0.0,0.0,0.0,0.0,5.0339662416958575,596.5,535.1378809359054,130.5147993715505,19.91233245107488,72.35143306705865,76.08704650308911,4.916218010385197,0.0,0.0,0.0,0.0,0.0,0.0,Carter Jensen,0.5,1.0058675607711651,0.2438900403449154,,,HIT,0.8983884566982105,6.984889210300789,15.33952257621764,5.063618859554058,7.182429184633221,0.19753997433243153,2026.0,1.0,2,draft contract,1.0,1.0,2,13.661404706281266,5.984889210300789,10.762194000339075,0.0,5.535364900288214,22.28244811092808,5.984889210300789
24064,1.7114891746376208,1.0713009414965546,1.6612083144672565,0.34393212047689353,0.0010918602159101576,0.0,0.0,0.0,0.0,0.0,4.789022411294236,563.0,518.493642891396,131.57995179619098,16.525506580977904,67.48989101967803,64.33567623598958,7.0000220842482515,0.0,0.0,0.0,0.0,0.0,0.0,Ezequiel Tovar,0.5,1.0657193605683837,0.2537735102448533,,,HIT,0.6534446262965892,5.353121040562539,12.870387146242381,5.103674460417503,7.4492718089260626,2.0961507683635237,2026.0,1.0,2,draft contract,1.0,1.0,2,11.633120710846297,4.353121040562539,9.038152604219352,0.0,4.06992971358645,17.46120335836834,4.353121040562539
26546,1.477268690007312,0.9020407369473982,1.4431261211884239,0.48279233883712575,-0.21283440531416759,0.0,0.0,0.0,0.0,0.0,4.092393481666091,447.55928411633107,406.25185109919505,99.37401662306343,13.91455897902086,58.253773598355345,55.88973645984478,9.826232656838442,0.0,0.0,0.0,0.0,0.0,0.0,Agustín Ramírez,0.4407158836689038,1.3406045216661087,0.2446118494086545,,,HIT,-0.04318430333155554,0.7123145682289153,5.84807852605675,5.491018369393487,10.029681612972372,9.317367044743456,2026.0,3.0,2,draft contract,3.0,3.0,2,17.236077407728207,-2.287685431771085,12.100665796568975,0.0,6.673065927083629,16.48604629188152,-2.287685431771085
31370,1.9800604082114925,0.8347933992660843,1.6947266653483855,1.5147672035806814,-0.6632748548441678,0.0,0.0,0.0,0.0,0.0,5.361072821562475,618.0,540.1660997732426,125.31802761079597,12.877225510562065,78.0805763442048,65.63378301252843,30.82993197278911,0.0,0.0,0.0,0.0,0.0,0.0,Jakob Marsee,0.5,1.0,0.23199906040642584,,,HIT,1.225495036564828,9.164009640740321,18.63689260755259,5.361072821562475,9.164009640740321,0.0,2026.0,8.0,2,draft contract,8.0,8.0,2,16.027212296016813,1.1640096407403213,6.823130451614291,0.0,2.1871608838721475,10.17430097622676,1.1640096407403213
22542,1.8726414856230689,1.1590665811552188,1.8202449307096271,0.7337058315287429,-0.37621084413208566,0.0,0.0,0.0,0.0,0.0,5.209447984884573,547.0,494.0999352159859,118.74958257533656,17.87934806434008,73.84467962550137,70.49488466465542,14.933054280947793,0.0,0.0,0.0,0.0,0.0,0.0,Lawrence Butler,0.5,1.0968921389396709,0.24033515107308717,,,HIT,1.073870199886926,8.153914461665652,17.10845134944143,5.716657058729233,11.532842686741105,3.3789282250754535,2026.0,9.0,2,draft contract,9.0,9.0,2,15.78634659342658,-0.8460855383343482,5.7683946044125936,0.0,1.2906354137507043,6.21294447982895,-0.8460855383343482
23003,1.2578688715188575,1.0036622280691299,1.522816636950958,0.019195182484825806,0.24853486091642993,0.0,0.0,0.0,0.0,0.0,4.052077779940201,461.0,429.6657443332653,113.35529983313907,15.482135889720668,49.60208589915729,58.97600997324313,0.3906779661016949,0.0,0.0,0.0,0.0,0.0,0.0,Yainer Diaz,0.5,1.3015184381778742,0.26382205546555354,,,HIT,-0.08350000505744593,0.44373920256608657,5.4416795269372695,5.268086253919357,8.544551207986718,8.10081200542063,2026.0,2.0,2,draft contract,2.0,2.0,2,8.68119905584335,-1.5562607974339135,5.679019197466848,0.0,1.2146663178468207,5.337424717879754,-1.5562607974339135
21618,1.5502928397842055,0.9974410253859004,1.9350460845898265,0.12173293102198893,0.2669544330583119,0.0,0.0,0.0,0.0,0.0,4.871467313840233,582.0,531.0392078362293,139.46497111779516,15.38616983396449,61.1333664016757,74.9409314387008,2.477620305869165,0.0,0.0,0.0,0.0,0.0,0.0,Alec Bohm,0.5,1.0309278350515463,0.26262650489793155,,,HIT,0.735889528842586,5.902352950225853,13.70146596771504,5.0215100047665535,6.901908181945719,0.9995552317198655,2026.0,2.0,2,draft contract,2.0,2.0,2,3.678045755043773,3.902352950225853,1.4263388917872069,0.0,0.0,5.32869184201306,3.902352950225853
17998,0.0,0.0,0.0,0.0,0.0,1.2816254476812268,2.5561980535303492,1.029505457254759,0.10897114117244441,-0.18903624508888206,4.787263854549898,0.0,0.0,45.538839098085184,0.0,0.0,0.0,0.0,54.180422420796106,4.85109421259644,16.803331360376557,60.818694332582744,21.032258634064693,20.930622414778764,Pete Fairbanks,0.4313566206336312,1.487800214364145,,3.493703431037238,1.2268169671440385,PIT,0.6516860695522508,5.3414058774764355,12.852660164689313,7.125203989648215,20.916308453923303,15.574902576446867,2025.0,1.0,1,draft contract,1.0,1.0,1,0.0,4.3414058774764355,0.0,0.0,0.0,4.3414058774764355,4.3414058774764355
