decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit
2023,9218,2022,36,2,1,15.197757850464313,651.0,0.0,0.0,HIT,CI,1987.0,1,36.0,0
2023,10243,2022,25,2,0,7.780472868781721,538.0,1.0,0.0,HIT,OF,1991.0,1,32.0,0
2023,14344,2022,39,2,0,9.987192933134029,699.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,29.0,0
2023,12304,2022,20,2,1,11.21452841141206,0.0,181.66666666666663,0.0,PIT,SP,1989.0,1,34.0,1
2023,21524,2022,5,2,0,2.8379784981497567,291.0,0.0,0.0,HIT,C,1996.0,1,27.0,0
2023,3096,2022,29,2,1,13.462690277032568,0.0,64.0,41.0,PIT,UNKNOWN,1987.0,1,36.0,1
2023,9241,2022,42,2,0,10.058475307253016,505.0,0.0,0.0,HIT,OF,1988.0,1,35.0,0
2023,13853,2022,7,2,0,4.080750335983261,371.0,0.0,0.0,HIT,CI,1990.0,1,33.0,0
2023,9777,2022,29,2,0,11.730883314305695,620.0,0.0,0.0,HIT,CI,1991.0,1,32.0,0
2023,13361,2022,19,2,0,1.4159866908318548,0.0,48.0,0.0,PIT,SP,1991.0,1,32.0,1
2023,10324,2022,22,2,0,5.877902973667252,507.0,0.0,0.0,HIT,UTIL,1990.0,1,33.0,0
2023,2136,2022,1,2,0,5.010691441441641,490.0,0.0,0.0,HIT,UTIL,1987.0,1,36.0,0
2023,15986,2022,26,2,0,10.22955714522281,617.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,28.0,0
2023,5235,2022,20,2,1,7.833682780043111,532.0,0.0,0.0,HIT,UTIL,1984.0,1,39.0,0
2023,12916,2022,28,2,1,12.79790335313949,706.0,0.0,0.0,HIT,MI,1993.0,1,30.0,0
2023,9847,2022,14,2,0,7.105945877949493,580.0,0.0,0.0,HIT,OF,1986.0,1,37.0,0
2023,15998,2022,22,2,0,7.138925461886123,550.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,28.0,0
2023,18564,2022,20,2,0,4.388515709851461,524.0,0.0,0.0,HIT,OF,1996.0,1,27.0,0
2023,12970,2022,31,2,0,12.204631178317072,0.0,181.0,0.0,PIT,SP,1992.0,1,31.0,1
2023,7859,2022,16,2,0,7.720189027696268,577.0,0.0,0.0,HIT,OF,1986.0,1,37.0,0
2023,11445,2022,9,2,0,7.092930046421321,542.0,0.0,0.0,HIT,OF,1989.0,1,34.0,0
2023,26294,2022,7,2,0,5.79601899978998,466.0,0.0,0.0,HIT,MI,1997.0,1,26.0,0
2023,2233,2022,17,2,0,6.49794579623841,0.0,191.66666666666663,0.0,HIT,SP,1981.0,1,42.0,0
2023,22201,2022,2,2,0,0.6243358224911391,0.0,70.0,0.0,PIT,SP,1999.0,1,24.0,1
2023,6655,2022,25,2,0,7.778045100373376,0.0,60.0,22.0,PIT,SP,1988.0,1,35.0,1
2023,11477,2022,27,2,0,9.361874358099605,671.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,32.0,0
2023,13543,2022,21,2,0,7.795289956041983,0.0,128.0,0.0,PIT,UNKNOWN,1992.0,1,31.0,1
2023,5361,2022,39,2,0,14.86529323010762,708.0,0.0,0.0,HIT,UNKNOWN,1989.0,1,34.0,0
2023,13050,2022,12,2,0,-1.9682471951175102,0.0,19.0,0.0,PIT,SP,1990.0,1,33.0,1
2023,12546,2022,23,2,0,9.903079610795102,632.0,0.0,0.0,HIT,CI,1990.0,1,33.0,0
2023,16137,2022,26,2,1,15.587231619091211,0.0,178.0,0.0,PIT,UNKNOWN,1992.0,1,31.0,1
2023,13074,2022,26,2,1,16.1346210814277,0.0,194.66666666666663,0.0,PIT,SP,1986.0,1,37.0,1
2023,16149,2022,32,2,0,14.867062060531469,0.0,205.0,0.0,PIT,UNKNOWN,1993.0,1,30.0,1
2023,15653,2022,6,2,0,0.4993065087526305,152.0,0.0,0.0,HIT,CI,1995.0,1,28.0,0
2023,13613,2022,32,2,0,5.874450230488484,558.0,0.0,0.0,HIT,MI,1993.0,1,30.0,0
2023,10047,2022,9,2,0,3.6008525118799586,286.0,3.6666666666666674,0.0,HIT,OF,1990.0,1,33.0,0
2023,16219,2022,4,2,0,4.253777654288331,365.0,0.0,0.0,HIT,CI,1993.0,1,30.0,0
2023,27506,2022,9,2,0,6.814249595685633,582.0,0.0,0.0,HIT,MI,1995.0,1,28.0,0
2023,17277,2022,15,2,0,5.462765284060266,0.0,155.33333333333331,0.0,PIT,SP,1995.0,1,28.0,1
2023,14221,2022,18,2,0,2.9158219629282325,306.0,0.0,0.0,HIT,UTIL,1992.0,1,31.0,0
2023,2967,2022,15,2,0,7.704264161691419,622.0,0.0,0.0,HIT,OF,1988.0,1,35.0,0
2023,30115,2022,16,2,0,5.408890557962114,0.0,47.66666666666668,1.0,PIT,SP,1991.0,1,32.0,1
2023,30116,2022,25,2,0,6.420786571298379,446.0,0.0,0.0,HIT,OF,1994.0,1,29.0,0
2023,15279,2022,1,2,0,4.467302113248987,469.0,0.0,0.0,HIT,CI,1990.0,1,33.0,0
2023,18363,2022,9,2,0,4.357066883977746,407.0,0.0,0.0,HIT,OF,1997.0,1,26.0,0
2023,13774,2022,5,2,1,3.0030810183857026,0.0,75.66666666666667,1.0,PIT,SP,1994.0,1,29.0,1
2023,13301,2022,27,2,0,5.516527398668872,565.0,0.0,0.0,HIT,UNKNOWN,1990.0,1,33.0,0
2024,24064,2023,10,2,0,7.129153532234867,615.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,23.0,0
2024,14344,2023,30,2,1,14.769496656342008,720.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,30.0,0
2024,19470,2023,27,2,0,6.694094729664473,528.0,0.0,0.0,HIT,OF,1995.0,1,29.0,0
2024,21524,2023,3,2,1,0.20392291780294886,95.0,0.0,0.0,HIT,C,1996.0,1,28.0,0
2024,9241,2023,28,2,0,4.20093891969061,341.0,0.0,0.0,HIT,OF,1988.0,1,36.0,0
2024,9777,2023,36,2,0,8.348523280032568,612.0,0.0,0.0,HIT,CI,1991.0,1,33.0,0
2024,31838,2023,22,2,0,12.226538569101386,0.0,166.33333333333331,0.0,PIT,SP,1993.0,1,31.0,1
2024,26221,2023,10,2,0,4.702361510277672,0.0,42.0,0.0,PIT,RP,1997.0,1,27.0,1
2024,15986,2023,26,2,1,6.139324286196203,638.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,29.0,0
2024,18568,2023,10,2,1,9.347242286196261,617.0,0.0,0.0,HIT,CI,1997.0,1,27.0,0
2024,22664,2023,3,2,1,4.47849359318198,380.0,0.0,0.0,HIT,C,2000.0,1,24.0,0
2024,19600,2023,7,2,0,6.67593563276895,626.0,0.0,0.0,HIT,OF,1996.0,1,28.0,0
2024,12970,2023,25,2,0,8.23829869865323,0.0,97.33333333333331,0.0,PIT,SP,1992.0,1,32.0,1
2024,22201,2023,7,2,0,3.660727662143298,0.0,136.33333333333331,0.0,PIT,SP,1999.0,1,25.0,1
2024,26323,2023,6,2,1,9.03940522465777,665.0,0.0,0.0,HIT,OF,1997.0,1,27.0,0
2024,11477,2023,24,2,0,10.571354728041847,632.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,33.0,0
2024,11493,2023,39,2,0,8.467741620000472,601.0,0.0,0.0,HIT,CI,1992.0,1,32.0,0
2024,13543,2023,24,2,0,16.44070956735203,0.0,180.0,0.0,PIT,UNKNOWN,1992.0,1,32.0,1
2024,20202,2023,8,2,0,6.323973842998489,472.0,0.0,0.0,HIT,OF,1997.0,1,27.0,0
2024,5361,2023,33,2,1,15.148650340227956,730.0,0.0,0.0,HIT,UNKNOWN,1989.0,1,35.0,0
2024,18684,2023,30,2,1,6.340057930092101,0.0,184.66666666666663,0.0,PIT,UNKNOWN,1995.0,1,29.0,1
2024,16149,2023,29,2,0,8.9749940723348,0.0,193.66666666666663,0.0,PIT,UNKNOWN,1993.0,1,31.0,1
2024,16162,2023,34,2,1,7.821991650570318,0.0,67.0,0.0,PIT,SP,1993.0,1,31.0,1
