rank,fg_id,roto_points,name,PA,HR,R,RBI,SB,IP,W,SV,K,AVG,ERA,WHIP,role,hindsight_$,drafted_$,team,current_$,contract,bargain
1,19755,19.362343937871152,Shohei Ohtani,676.0,37.0,106.0,102.0,12.0,99.2,9.0,0.0,110.0,0.28760330578512394,1.9959677419354838,0.9677419354838709,TWO,63.72256414310462,,Pookie 2.0,16.0,F,47.72256414310462
2,31623,17.056292450041404,Jacob Misiorowski,0.0,0.0,0.0,0.0,0.0,175.0,14.0,0.0,262.0,,2.1085714285714285,0.8171428571428572,PIT,53.72180069258985,,Lisbon Long Balls,10.0,1,43.72180069258985
3,31757,14.013175783375186,Mason Miller,0.0,0.0,0.0,0.0,0.0,67.1,5.0,38.0,122.0,,1.0730253353204173,0.8345752608047691,PIT,40.52457153432455,,Spehr's Army,15.0,1,25.52457153432455
4,32095,13.562211161713263,Cam Schlittler,0.0,0.0,0.0,0.0,0.0,187.2,13.0,0.0,228.0,,2.5,0.9775641025641026,PIT,38.56885175547598,20.0,Lisbon Long Balls,20.0,2,18.568851755475983
5,10603,12.972683439019868,Chris Sale,0.0,0.0,0.0,0.0,0.0,167.0,16.0,0.0,204.0,,2.37125748502994,1.0479041916167664,PIT,36.012218769052154,,McBlocks,9.0,F,27.012218769052154
6,20778,12.522176692976219,Cristopher Sánchez,0.0,0.0,0.0,0.0,0.0,206.2,19.0,0.0,233.0,,2.706110572259942,1.1784675072744908,PIT,34.05848468123099,,Spehr's Army,5.0,F,29.058484681230993
7,33825,12.477320009105688,Yoshinobu Yamamoto,0.0,0.0,0.0,0.0,0.0,183.1,15.0,0.0,172.0,,2.8509011469142544,0.9284543965046423,PIT,33.863952561314676,,The Fighting Phils,32.0,1,1.863952561314676
8,27769,11.949781634242145,Pete Crow-Armstrong,706.0,35.0,112.0,97.0,39.0,0.0,0.0,0.0,0.0,0.28012519561815336,,,HIT,31.57615173556452,,Producers,17.0,1,14.576151735564519
9,19556,11.836566453983039,Yordan Alvarez,682.0,44.0,103.0,112.0,1.0,0.0,0.0,0.0,0.0,0.3180327868852459,,,HIT,31.085166064709327,,The Fighting Phils,31.0,1,0.08516606470932686
10,25768,11.682555673646068,CJ Abrams,673.0,36.0,100.0,115.0,30.0,0.0,0.0,0.0,0.0,0.281505728314239,,,HIT,30.4172601696728,22.0,New York Polar Bears,22.0,2,8.4172601696728
11,27691,11.652078321851413,Louis Varland,0.0,0.0,0.0,0.0,0.0,78.2,6.0,33.0,93.0,,1.7263427109974423,1.0485933503836318,PIT,30.28508758484326,,Orange and Black Attack,10.0,2,20.28508758484326
12,25385,11.427659482867105,Drew Rasmussen,0.0,0.0,0.0,0.0,0.0,166.1,14.0,0.0,169.0,,2.8717639975918123,0.9512341962673089,PIT,29.31183970448764,,Orange and Black Attack,1.0,1,28.31183970448764
13,18525,11.089883135997567,Dylan Cease,0.0,0.0,0.0,0.0,0.0,177.1,10.0,0.0,250.0,,2.64257481648786,1.101072840203275,PIT,27.846988914273773,23.0,Spehr's Army,23.0,2,4.846988914273773
14,19804,11.034721386971048,Bryan Baker,0.0,0.0,0.0,0.0,0.0,64.1,2.0,42.0,71.0,,2.106084243369735,0.93603744149766,PIT,27.607766326902123,,Orange and Black Attack,10.0,2,17.607766326902123
15,27867,10.879257336307553,Cade Smith,0.0,0.0,0.0,0.0,0.0,71.1,5.0,39.0,98.0,,2.5316455696202533,1.0970464135021099,PIT,26.933557965141883,,Pookie 2.0,10.0,1,16.933557965141883
16,22267,10.686176793275425,Tarik Skubal,0.0,0.0,0.0,0.0,0.0,153.2,11.0,0.0,184.0,,2.878590078328982,0.9399477806788512,PIT,26.09621636719756,,NPB No Stars,38.0,3,-11.90378363280244
17,19569,10.54799443286061,David Bednar,0.0,0.0,0.0,0.0,0.0,70.2,7.0,36.0,80.0,,2.692307692307692,1.0683760683760684,PIT,25.496954335610013,,Lisbon Long Balls,10.0,1,15.496954335610013
18,28163,10.351255241765399,Junior Caminero,698.0,46.0,98.0,106.0,3.0,0.0,0.0,0.0,0.0,0.2764612954186414,,,HIT,24.643746104149184,,Spehr's Army,11.0,1,13.643746104149184
19,10310,10.328891264740363,Zack Wheeler,0.0,0.0,0.0,0.0,0.0,156.1,13.0,0.0,183.0,,2.940422805893658,1.0185778347213326,PIT,24.546759178566436,14.0,Pookie 2.0,14.0,2,10.546759178566436
20,29518,10.297558182948674,James Wood,657.0,36.0,119.0,90.0,20.0,0.0,0.0,0.0,0.0,0.2639593908629442,,,HIT,24.410875508653575,,Spehr's Army,10.0,F,14.410875508653575
21,35333,10.224901491633029,Chase Burns,0.0,0.0,0.0,0.0,0.0,164.0,16.0,0.0,190.0,,2.908536585365854,1.1402439024390243,PIT,24.09578177081658,9.0,The Fighting Phils,9.0,2,15.09578177081658
22,21306,10.16011507931222,Jacob Latz,0.0,0.0,0.0,0.0,0.0,71.0,4.0,31.0,73.0,,2.408450704225352,0.8732394366197183,PIT,23.814819447187944,,Producers,10.0,2,13.814819447187944
23,21029,9.88171667053447,Jhoan Duran,0.0,0.0,0.0,0.0,0.0,58.1,3.0,33.0,81.0,,1.8588640275387263,0.9982788296041308,PIT,22.607475792512552,,The Fighting Phils,4.0,1,18.607475792512552
24,14344,9.855666685285689,Matt Olson,703.0,44.0,111.0,99.0,2.0,0.0,0.0,0.0,0.0,0.2634069400630915,,,HIT,22.4945035792999,25.0,Orange and Black Attack,25.0,2,-2.5054964207001014
25,27475,9.831219736111416,Jordan Walker,667.0,29.0,91.0,106.0,19.0,0.0,0.0,0.0,0.0,0.27677100494233936,,,HIT,22.38848332907177,,Spehr's Army,10.0,2,12.388483329071772
26,30122,9.669500022755479,Gavin Williams,0.0,0.0,0.0,0.0,0.0,188.2,14.0,0.0,235.0,,3.538788522848034,1.0786397449521785,PIT,21.68714573661417,19.0,All-Stars,19.0,2,2.6871457366141698
27,31986,9.639407266506886,Parker Messick,0.0,0.0,0.0,0.0,0.0,176.2,11.0,0.0,175.0,,2.809307604994325,1.0839954597048809,PIT,21.556641045628538,,Orange and Black Attack,10.0,2,11.556641045628538
28,26668,9.492751719154713,Elly De La Cruz,625.0,27.0,95.0,80.0,31.0,0.0,0.0,0.0,0.0,0.27079646017699116,,,HIT,20.92063294020885,,Spehr's Army,15.0,F,5.920632940208851
29,19608,9.281838290664913,Otto Lopez,666.0,12.0,93.0,71.0,28.0,0.0,0.0,0.0,0.0,0.3092105263157895,,,HIT,20.005954617545452,,All-Stars,10.0,2,10.005954617545452
30,31505,9.274077089407227,Sal Stewart,682.0,32.0,87.0,114.0,16.0,0.0,0.0,0.0,0.0,0.2560777957860616,,,HIT,19.972296245961125,14.0,McBlocks,14.0,2,5.972296245961125
31,25764,9.235274591949207,Bobby Witt Jr.,616.0,19.0,85.0,63.0,42.0,0.0,0.0,0.0,0.0,0.2857142857142857,,,HIT,19.804019604951666,,Orange and Black Attack,39.0,F,-19.195980395048334
32,14212,9.04943595268955,Josh Hader,0.0,0.0,0.0,0.0,0.0,43.0,6.0,25.0,62.0,,1.6744186046511629,0.8604651162790697,PIT,18.998084316425015,15.0,Orange and Black Attack,15.0,2,3.9980843164250146
33,19709,9.031921993258736,Fernando Tatis Jr.,698.0,18.0,91.0,76.0,33.0,0.0,0.0,0.0,0.0,0.2777777777777778,,,HIT,18.922130693414495,,Orange and Black Attack,34.0,F,-15.077869306585505
34,19251,8.975038494908771,Pete Alonso,696.0,35.0,96.0,105.0,6.0,0.0,0.0,0.0,0.0,0.25796178343949044,,,HIT,18.67544131365085,,Pookie 2.0,27.0,1,-8.32455868634915
35,12768,8.949129735314296,Sonny Gray,0.0,0.0,0.0,0.0,0.0,171.2,17.0,0.0,155.0,,3.101635514018692,1.1799065420560748,PIT,18.56308156046752,,Pookie 2.0,7.0,1,11.56308156046752
36,19959,8.923881918876631,Jesús Luzardo,0.0,0.0,0.0,0.0,0.0,191.2,13.0,0.0,231.0,,3.389121338912134,1.1506276150627617,PIT,18.45358815098917,,All-Stars,10.0,1,8.45358815098917
37,29576,8.92282907659033,Ben Rice,653.0,41.0,96.0,100.0,3.0,0.0,0.0,0.0,0.0,0.2534013605442177,,,HIT,18.44902223964176,,Lisbon Long Balls,10.0,1,8.44902223964176
38,22250,8.918508339507314,Logan Gilbert,0.0,0.0,0.0,0.0,0.0,184.1,11.0,0.0,194.0,,3.470939706681152,1.0211841390548615,PIT,18.430284293101032,,New York Polar Bears,12.0,F,6.430284293101032
39,16478,8.888113891762098,Kyle Schwarber,691.0,46.0,94.0,96.0,4.0,0.0,0.0,0.0,0.0,0.24552845528455283,,,HIT,18.298471242215943,,McBlocks,20.0,1,-1.7015287577840574
40,10233,8.856425979911617,Aroldis Chapman,0.0,0.0,0.0,0.0,0.0,55.2,4.0,35.0,72.0,,2.282608695652174,1.2318840579710144,PIT,18.161048763867175,,Lisbon Long Balls,2.0,1,16.161048763867175
41,22186,8.819999882950095,Brice Turang,675.0,20.0,95.0,95.0,22.0,0.0,0.0,0.0,0.0,0.26721311475409837,,,HIT,18.00307797220869,,McBlocks,9.0,F,9.00307797220869
42,24262,8.791109578133465,Ceddanne Rafaela,651.0,21.0,84.0,86.0,22.0,0.0,0.0,0.0,0.0,0.28187919463087246,,,HIT,17.877788009686522,,McBlocks,1.0,1,16.877788009686522
43,16578,8.770110175902747,Yandy Díaz,680.0,22.0,89.0,90.0,4.0,0.0,0.0,0.0,0.0,0.3008130081300813,,,HIT,17.786718900683557,13.0,New York Polar Bears,13.0,2,4.786718900683557
