season,category,level
2022,AVG,0.24742000000000003
2022,ERA,3.8161
2022,HR,220.8
2022,K,1145.2
2022,R,855.3
2022,RBI,820.4
2022,SB,101.3
2022,SV,57.375
2022,W,72.5
2022,WHIP,1.2152900000000002
2023,AVG,0.25317
2023,ERA,4.0653
2023,HR,252.5
2023,K,1151.6
2023,R,944.4
2023,RBI,908.3
2023,SB,157.0
2023,SV,62.25
2023,W,74.3
2023,WHIP,1.27312
2024,AVG,0.25352
2024,ERA,3.6300999999999997
2024,HR,292.7
2024,K,1379.2
2024,R,1057.2
2024,RBI,1018.6
2024,SB,188.8
2024,SV,79.25
2024,W,90.8
2024,WHIP,1.17231
2025,AVG,0.25403
2025,ERA,3.5962999999999994
2025,HR,313.8
2025,K,1311.9
2025,R,1096.4
2025,RBI,1052.4
2025,SB,191.6
2025,SV,75.22222222222223
2025,W,84.4
2025,WHIP,1.1793900000000002
2026,AVG,0.25122
2026,ERA,3.7625
2026,HR,232.8
2026,K,1029.4
2026,R,831.2
2026,RBI,781.2
2026,SB,127.9
2026,SV,50.44444444444444
2026,W,64.6
2026,WHIP,1.19725
