team,fg_id,roster_name,roster_role,il,salary,contract,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,pt_scale_kind,AVG,ERA,WHIP,role,pt_extrapolated,reliever,SV_2026,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,upside_kind,roto_points_2028,redraft_value_2028,keeper_cost,keeper_status,years_controlled,surplus_keep,surplus_redraft,extension_used,keepable,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,extension_years,surplus_multiyear,keep_2027,value_lo,value_hi,surplus_lo,surplus_hi,p_surplus_positive
All-Stars,14161,Byron Buxton,HIT,True,8,1,2.152938336230436,1.9050207005962123,1.8630295926689358,0.6369160361450776,-0.11488716931595436,0.0,0.0,0.0,0.0,0.0,6.443017496324707,462.9,416.4340139808683,103.69969578880946,26.367772515964393,72.77838013979651,63.00806664978372,10.893471506826915,0.0,0.0,0.0,0.0,0.0,0.0,Byron Buxton,0.5,1.2961762799740766,health,0.24901831336374364,,,HIT,,,,1.631960673995846,11.706760998569676,22.59944627901309,8.353328691074644,24.239688857057846,12.53292785848817,health,5.011440959755417,2.314654882018399,8.0,keepable x1yr,1,14.59944627901309,3.706760998569676,False,True,3.706760998569676,0.0,0.0,0.0,0,3.706760998569676,True,9.590955530138443,13.676364842632482,1.5909555301384428,5.676364842632482,0.98
All-Stars,18882,Brandon Lowe,HIT,False,1,1,1.9462191237794098,1.5494121161031114,1.922245523548405,0.1685248111413946,-0.35775663750287157,0.0,0.0,0.0,0.0,0.0,5.228644937069449,521.8,471.3846035602717,113.45541906468627,21.445722977235704,65.79040042259672,65.01076233119666,2.882358308127138,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Lowe,0.5,1.1498658489842852,health,0.24068545770859004,,,HIT,,,,0.417588114740588,3.73965924033176,11.46072242997519,6.015839021278921,8.904182536399983,5.164523296068223,health,3.6752605155176745,0.0,1.0,keepable x1yr,1,10.46072242997519,2.73965924033176,False,True,2.73965924033176,0.0,0.0,0.0,0,2.73965924033176,True,2.014559162574079,5.8208293592975675,1.014559162574079,4.8208293592975675,0.968
All-Stars,19608,Otto Lopez,HIT,False,10,2,2.040754601900815,0.763047906204015,1.8382639104364853,1.0732933727549467,0.7073760702355152,0.0,0.0,0.0,0.0,0.0,6.422735861531777,563.8,515.9391886116886,143.14382748514623,10.561498677297052,68.9860975996294,62.17048588194731,18.357036267036264,0.0,0.0,0.0,0.0,0.0,0.0,Otto Lopez,0.5,1.0642071656615821,health,0.2774432154888715,,,HIT,,,,1.611679039202916,11.57369981649077,22.413414795146203,6.831813592489713,14.25752520823851,2.6838253917477406,health,4.840485981664067,1.1930751031024396,10.0,keepable x2yr,2,12.413414795146203,1.5736998164907696,False,True,1.5736998164907696,0.0,0.0,0.0,0,1.5736998164907696,True,9.435500290314339,13.163053022408961,-0.5644997096856605,3.1630530224089615,0.835
All-Stars,21711,Oneil Cruz,HIT,True,20,2,2.179245529652222,1.774137448029696,2.1005456605920885,1.8539259652626638,-0.11412407749653554,0.0,0.0,0.0,0.0,0.0,7.793730526040135,521.2,462.1450909169532,115.30130051720705,24.55619124089304,73.66767403690558,71.04091180532278,31.708558950076757,0.0,0.0,0.0,0.0,0.0,0.0,Oneil Cruz,0.5,1.1511895625479662,health,0.2494915618132716,,,HIT,,,,2.9826737037112743,20.56834805593883,34.98874091732763,8.97307930759192,28.305670247111596,7.737322191172765,health,7.598700429713656,19.288819288996894,20.0,keepable x2yr,2,14.988740917327632,0.5683480559388308,False,True,0.5683480559388308,0.0,0.0,0.0,0,0.5683480559388308,True,17.843007108169047,22.32178523003434,-2.1569928918309538,3.114986136986696,0.583
All-Stars,20178,Miguel Vargas,HIT,False,10,2,2.5352425673082934,1.5490771537311119,1.998589271737486,0.5972232338488548,-0.4326773873129773,0.0,0.0,0.0,0.0,0.0,6.247454839312768,595.4,526.165383130569,126.0160801399461,21.441086696053286,85.70187274068206,67.59272452499135,10.214587028651323,0.0,0.0,0.0,0.0,0.0,0.0,Miguel Vargas,0.5,1.007725898555593,health,0.23949899438495548,,,HIT,,,,1.4363980169839072,10.423738274899918,20.80566527248573,6.295943507597976,10.741856591561005,0.3181183166610868,health,5.236848438384808,3.793479733272893,10.0,keepable x2yr,2,10.80566527248573,0.4237382748999181,False,True,0.4237382748999181,0.0,0.0,0.0,0,0.4237382748999181,True,7.882644054409142,13.740601023305494,-2.1173559455908575,3.7406010233054943,0.616
All-Stars,3096,Kenley Jansen,PIT,False,1,2,0.0,0.0,0.0,0.0,0.0,0.8520283886929128,2.0603568243148063,0.8659596698105495,-0.7734718182612309,-0.4964039132717579,2.5084691512852793,0.0,0.0,40.71930253501873,0.0,0.0,0.0,0.0,45.88,3.12692363846849,13.543887333675178,45.513507242360845,23.251712017438933,20.34353700000462,Kenley Jansen,0.40273037542662116,1.8458511492369427,health,,4.5611466468385,1.3309250116613631,PIT,,,,-2.3025876710435815,0.0,0.0,4.698152794830641,0.25927354901294786,0.25927354901294786,role,0.9830852112857765,0.0,1.0,keepable x2yr,2,-1.0,-1.0,False,True,-1.0,0.0,0.0,0.0,0,-1.0,True,0.0,0.0,-1.0,-1.0,0.002
Lisbon Long Balls,19569,David Bednar,PIT,False,10,1,0.0,0.0,0.0,0.0,0.0,1.7524955483930162,3.6470487578045385,1.427789638055812,0.38522699107129266,0.2760842378976534,7.488645173222313,0.0,0.0,49.65407032834074,0.0,0.0,0.0,0.0,63.66,6.431616398354527,23.97410821911956,75.04242552824405,23.07287293384362,21.278389749378416,David Bednar,0.5,1.0427916555437204,health,,3.2619518756612096,1.1142390838473006,PIT,,,,2.677588350893452,18.566782694203255,32.19037276455244,7.807722534857297,20.660145056125376,2.0933623619221216,role,5.106110116729236,2.935748302837766,10.0,keepable x1yr,1,22.190372764552443,8.566782694203255,False,True,8.566782694203255,0.0,0.0,0.0,0,8.566782694203255,True,8.1708027338897,26.911450484056484,-1.829197266110301,16.911450484056484,0.848
Lisbon Long Balls,10233,Aroldis Chapman,PIT,False,2,1,0.0,0.0,0.0,0.0,0.0,1.3939848428185486,3.5478805119614303,1.313482925106415,0.3708410239905575,-0.39960465894427694,6.226584644932674,0.0,0.0,40.587424734492366,0.0,0.0,0.0,0.0,51.480000000000004,5.115890754958316,23.322219413779287,69.03464065206036,18.296278685372908,25.708017024463384,Aroldis Chapman,0.44089456869009586,1.0719391476623121,health,,3.198650119820438,1.2877902439579592,PIT,,,,1.4155278226038135,10.28681574558784,20.614235278367474,6.67466288624758,13.226510748575597,2.939695002987758,role,3.750100555712617,0.0,2.0,keepable x1yr,1,18.614235278367474,8.28681574558784,False,True,8.28681574558784,0.0,0.0,0.0,0,8.28681574558784,True,0.8762958615893173,18.645714686917596,-1.1237041384106827,16.645714686917596,0.869
Lisbon Long Balls,31623,Jacob Misiorowski,PIT,False,10,1,0.0,0.0,0.0,0.0,0.0,2.6688813519886003,0.0,3.522812468913426,0.1633315449657662,0.8981445473117653,7.2531699131795575,0.0,0.0,101.26648351327559,0.0,0.0,0.0,0.0,139.42000000000002,9.794730197433285,0.0,185.15360057408648,54.842607813022916,49.04745378004034,Jacob Misiorowski,0.5,1.0758858126524171,health,,3.5402630204935175,1.078137550518691,PIT,,,,2.4421130908506967,17.021906417141544,30.030496971159028,7.795118596690208,20.577454734142705,3.5555483170011613,health,4.21130897810068,0.0,10.0,keepable x1yr,1,20.030496971159028,7.021906417141544,False,True,7.021906417141544,0.0,0.0,0.0,0,7.021906417141544,True,5.873222609019296,23.283467522547756,-4.126777390980704,13.283467522547754,0.766
Lisbon Long Balls,29712,Colson Montgomery,HIT,False,5,2,2.08313400661851,1.9997636094936455,2.6411674023325564,0.11358221891483158,-0.9908984175149621,0.0,0.0,0.0,0.0,0.0,5.846748819844581,573.0,515.9611965811966,113.78409467352267,27.679128066340517,70.41869990631831,89.32485687519518,1.9426495726495727,0.0,0.0,0.0,0.0,0.0,0.0,Colson Montgomery,0.5,1.0471204188481675,health,0.2205283952116281,,,HIT,,,,1.0356919975157206,7.7948369481115725,17.130225094357375,6.125470551658977,9.623439202562567,1.8286022544509946,health,5.924412432133263,8.304362544108017,5.0,keepable x2yr,2,12.130225094357375,2.7948369481115725,False,True,2.7948369481115725,2.808708162491814,0.0,0.0,0,5.6035451106033864,True,4.531571358297896,11.566724836187063,-0.46842864170210435,12.7911113510032,0.88
