fg_id,rp_2026,rp_2027,value_2027,PA,IP,name,move
12979,1.4511709159824095,2.5927854560288295,0.0,177.0,0.0,Joshua Baez,added
13145,6.811705978290735,4.80585959830527,1.4734315561883555,558.0,0.0,Josh Bell,added
13301,6.6366926810089355,4.009810257522042,0.0,490.0,0.0,Max Muncy,added
14710,-1.270845304382423,3.426030816095314,0.0,0.0,13.666666666666664,Edwin Diaz,added
15362,4.787224213137158,4.230784502497643,0.0,455.0,0.0,Jeff McNeil,added
16358,2.8567019798534927,2.6514705927061235,0.0,0.0,131.0,Tyler Mahle,added
17295,2.3974050773432474,4.069827593017871,0.0,0.0,157.66666666666663,Framber Valdez,added
17338,6.035957642385958,4.801249956905332,1.4433694275988345,477.0,0.0,Willi Castro,added
17586,7.930475037295857,5.684804642618373,7.205538818505703,0.0,57.333333333333336,Tanner Scott,added
19312,6.404554644493883,-0.2437295753644948,0.0,0.0,96.66666666666667,Cal Quantrill,added
20043,2.286531109102602,4.6177327454796,0.2465479116464233,230.0,0.0,Luis Robert,added
21547,,2.738818119763909,0.0,,,Lazaro Montes,added
22275,6.404959516392045,5.327238101886707,4.873641303239038,545.0,0.0,Jake Burger,added
22542,4.661561428330273,6.392254900718469,11.819229729469276,461.0,0.0,Lawrence Butler,added
24759,2.3310622932026734,2.6538376538307435,0.0,187.0,0.0,Mickey Gasper,added
25098,0.2581635571018914,2.5046486003627013,0.0,0.0,105.0,Jacob Lopez,added
26197,1.290740720841772,4.872106799563702,1.9054677408151437,308.0,3.0,Andrew Vaughn,added
26540,4.621299267195125,4.614651635955938,0.2264542204755714,360.0,0.0,Angel Martinez,added
27676,3.849297824094899,5.746667641462109,7.608983092109896,414.0,0.0,Vinnie Pasquantino,added
27782,4.722751089707072,3.9872343076048518,0.0,0.0,117.33333333333331,Brandon Pfaadt,added
28253,3.8706833439395893,4.804124074787568,1.462113206964921,413.0,4.666666666666667,Javier Sanoja,added
29189,1.2763906105722416,4.849085374906145,1.755331760958061,95.0,0.0,Hector Rodriguez,added
29478,5.578777214987108,6.063447568150315,9.674887587589348,533.0,0.0,Carter Jensen,added
29770,7.405307872471048,4.159922953588318,0.0,0.0,59.66666666666668,Mason Montgomery,added
29868,1.4899764154492323,3.3772177279542817,0.0,0.0,136.0,Bubba Chandler,added
30091,-1.8726835104043835,0.8274100153318924,0.0,0.0,105.33333333333331,Andrew Painter,added
31448,4.65651467703209,5.950861233057789,8.940647201120234,394.0,0.0,Henry Bolte,added
31532,3.2320654913833184,6.293351401520598,11.174223002724752,223.0,0.0,Spencer Jones,added
31580,5.901871069503726,4.6814440428265955,0.6620460051589447,576.0,0.0,Chase Meidroth,added
31791,4.1484322486159435,6.1656099992917905,10.341147688002904,411.0,0.0,Justin Crawford,added
31959,6.603804599122221,0.8898875142378826,0.0,0.0,99.66666666666667,Jake Bennett,added
33321,6.155869104844675,5.331082277191961,4.898711386206611,540.0,0.0,Luke Keaschall,added
33571,0.14177277316431341,0.6890226509696371,0.0,31.0,0.0,Walker Jenkins,added
37238,-0.5715731565312842,-0.8061993520516998,0.0,0.0,15.0,Kade Anderson,added
9218,4.440804455734159,4.381986661322922,0.0,359.0,0.0,Paul Goldschmidt,dropped
13066,4.69206638697604,5.60569862938469,6.689642909104299,418.0,0.0,Teoscar Hernández,dropped
15440,3.417187332321374,1.9125838644612991,0.0,0.0,102.33333333333331,Matthew Boyd,dropped
17901,4.887232851815412,4.355272421561789,0.0,426.0,0.0,Andrew Benintendi,dropped
17969,5.302533171228832,4.1291864856572245,0.0,0.0,139.66666666666663,Peter Lambert,dropped
20352,5.226147993256311,4.849462166575649,1.7577890366195152,558.0,0.0,Ernie Clement,dropped
21626,3.829182680256312,3.5041687025751305,0.0,256.0,0.0,Griffin Conine,dropped
22543,6.128737812136661,3.5548496744559928,0.0,0.0,159.33333333333331,Taj Bradley,dropped
23690,5.886128910592307,5.042907049678445,3.0193546219380276,530.0,0.0,Brayan Rocchio,dropped
24586,2.372945953984851,3.392506830706739,0.0,0.0,152.0,Kyle Bradish,dropped
24617,5.424572591686073,6.6745368312795845,13.660152907385202,561.0,0.0,Jarren Duran,dropped
25979,5.0462744261548735,4.622277213506932,0.27618500710691873,464.0,0.0,Nasim Nuñez,dropped
26202,5.340016730084313,4.340614651322052,0.0,427.0,0.0,Jake Mangum,dropped
26288,3.5308050051877684,4.540773397921413,0.0,355.0,0.0,Adley Rutschman,dropped
26319,5.416404540105026,6.647569577930682,13.484283904236317,637.0,0.0,Michael Busch,dropped
27490,6.723499979906178,4.77323646647311,1.260677309373297,556.0,0.0,Nick Gonzales,dropped
27496,3.926701238606833,5.211044074384019,4.115873075071179,317.0,0.0,Owen Caissie,dropped
27555,5.626547900091545,3.1365131113549123,0.0,464.0,0.0,Garrett Mitchell,dropped
27758,5.592633060613586,2.9889561979652015,0.0,0.0,110.66666666666667,Kyle Harrison,dropped
27770,0.7785631631507127,3.688814676298359,0.0,45.0,0.0,Zac Veen,dropped
27863,1.6595055918820683,2.437977215028404,0.0,0.0,78.66666666666667,Jared Jones,dropped
27899,3.80009998930106,5.113984024029188,3.482888540805318,397.0,0.0,Colt Keith,dropped
27914,0.7979854171056951,2.9559971442179784,0.0,0.0,22.0,Daniel Palencia,dropped
27932,5.3168723256697135,3.720315407267699,0.0,0.0,116.33333333333331,Ian Seymour,dropped
28824,3.5902910979398985,5.120743539178866,3.526971235314956,363.0,0.0,Samuel Basallo,dropped
29779,2.471402887602744,3.9327096899668463,0.0,266.0,0.0,Max Muncy,dropped
29837,3.4137329779220082,3.1223741053369105,0.0,0.0,98.66666666666667,Bryce Miller,dropped
30107,3.051772210380106,1.4728253181178546,0.0,0.0,99.33333333333331,Christian Scott,dropped
33253,4.096036150869259,5.534833105823563,6.227487982717392,293.0,0.0,Cole Carrigg,dropped
33266,3.515785626354567,5.0298734497314,2.9343550040506754,337.0,0.0,Jacob Wilson,dropped
33433,0.7495988491841985,3.714791623626823,0.0,99.0,0.0,George Lombard Jr.,dropped
33530,3.240917776826361,4.390341742609448,0.0,209.0,0.0,Cooper Pratt,dropped
35108,4.430755578555679,4.414177508250787,0.0,501.0,0.0,Cam Smith,dropped
